date,note,amount,transaction type,Category,account Name
11/30/18,Credit Card Payment,582.99,debit,Credit Card Payment,Checking
11/30/18,Grocery Store,6.27,debit,Groceries,Silver Card
12/1/18,Grocery Store,5.64,debit,Groceries,Silver Card
12/1/18,Brunch Restaurant,8,debit,Restaurants,Silver Card
12/1/18,Amazon,13.13,debit,Shopping,Platinum Card
12/3/18,BP,30.03,debit,Gas & Fuel,Silver Card
12/3/18,Grocery Store,148.15,debit,Groceries,Silver Card
12/3/18,Mortgage Payment,1209.18,debit,Mortgage & Rent,Checking
12/4/18,Starbucks,3,debit,Coffee Shops,Silver Card
12/4/18,Latin Restaurant,20.65,debit,Fast Food,Platinum Card
12/4/18,Netflix,11.76,debit,Movies & DVDs,Platinum Card
12/6/18,Grocery Store,21.38,debit,Groceries,Platinum Card
12/6/18,Grocery Store,13.48,debit,Groceries,Platinum Card
12/6/18,Gas Company,40,debit,Utilities,Checking
12/7/18,Barbershop,30,debit,Haircut,Platinum Card
12/7/18,Biweekly Paycheck,2000,credit,Paycheck,Checking
12/8/18,Grocery Store,12.64,debit,Groceries,Platinum Card
12/9/18,Spotify,10.69,debit,Music,Platinum Card
12/11/18,Brunch Restaurant,10.29,debit,Restaurants,Platinum Card
12/12/18,Phone Company,89.54,debit,Mobile Phone,Checking
12/13/18,Thai Restaurant,27,debit,Restaurants,Silver Card
12/14/18,Grocery Store,21.39,debit,Groceries,Silver Card
12/14/18,Hardware Store,17.1,debit,Home Improvement,Silver Card
12/14/18,Power Company,60,debit,Utilities,Checking
12/17/18,American Tavern,63,debit,Food & Dining,Silver Card
12/17/18,BP,20.01,debit,Gas & Fuel,Silver Card
12/17/18,City Water Charges,35,debit,Utilities,Checking
12/18/18,Starbucks,3,debit,Coffee Shops,Silver Card
12/18/18,Credit Card Payment,311.02,credit,Credit Card Payment,Platinum Card
12/18/18,Credit Card Payment,311.02,debit,Credit Card Payment,Checking
12/18/18,Fancy Restaurant,56.52,debit,Restaurants,Silver Card
12/18/18,Amazon,49.99,debit,Shopping,Platinum Card
12/18/18,Amazon,41.72,debit,Shopping,Platinum Card
12/18/18,Amazon,24.3,debit,Shopping,Platinum Card
12/19/18,State Farm,75,debit,Auto Insurance,Checking
12/19/18,Amazon,43.01,debit,Shopping,Platinum Card
12/20/18,Credit Card Payment,464.03,credit,Credit Card Payment,Silver Card
12/20/18,Shell,30.38,debit,Gas & Fuel,Silver Card
12/21/18,Credit Card Payment,464.03,debit,Credit Card Payment,Checking
12/21/18,Biweekly Paycheck,2000,credit,Paycheck,Checking
12/22/18,New York Deli,21.38,debit,Fast Food,Platinum Card
12/22/18,Hardware Store,22.14,debit,Home Improvement,Platinum Card
12/23/18,Hardware Store,28,debit,Home Improvement,Platinum Card
12/24/18,Hardware Store,38.4,debit,Home Improvement,Platinum Card
12/26/18,Chick-Fil-A,56.07,debit,Fast Food,Platinum Card
12/26/18,Shell,32.47,debit,Gas & Fuel,Platinum Card
12/26/18,Shell,7.48,debit,Gas & Fuel,Platinum Card
12/26/18,Internet Service Provider,75.99,debit,Internet,Checking
12/26/18,Amazon,44.99,debit,Shopping,Platinum Card
12/28/18,Brewing Company,12,debit,Alcohol & Bars,Silver Card
12/29/18,Brewing Company,14,debit,Alcohol & Bars,Silver Card
12/29/18,Credit Card Payment,860.05,credit,Credit Card Payment,Platinum Card
12/29/18,Grocery Store,55.04,debit,Groceries,Silver Card
1/1/19,Amazon,13.09,debit,Shopping,Platinum Card
1/2/19,Credit Card Payment,499.6,debit,Credit Card Payment,Checking
1/3/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
1/3/19,Amazon,42.1,debit,Shopping,Platinum Card
1/4/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
1/5/19,American Tavern,23.49,debit,Restaurants,Platinum Card
1/8/19,Gas Company,45,debit,Utilities,Checking
1/9/19,Credit Card Payment,491.45,credit,Credit Card Payment,Platinum Card
1/9/19,Credit Card Payment,491.45,debit,Credit Card Payment,Checking
1/9/19,Credit Card Payment,281.84,debit,Credit Card Payment,Checking
1/9/19,Spotify,10.69,debit,Music,Platinum Card
1/10/19,Grocery Store,58.79,debit,Groceries,Silver Card
1/10/19,Barbershop,30,debit,Haircut,Silver Card
1/10/19,Phone Company,65,debit,Mobile Phone,Checking
1/14/19,Shell,28.92,debit,Gas & Fuel,Silver Card
1/15/19,Grocery Store,6.06,debit,Groceries,Silver Card
1/16/19,City Water Charges,35,debit,Utilities,Checking
1/16/19,Power Company,60,debit,Utilities,Checking
1/18/19,State Farm,75,debit,Auto Insurance,Checking
1/18/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
1/21/19,Credit Card Payment,277.99,credit,Credit Card Payment,Silver Card
1/22/19,Credit Card Payment,277.99,debit,Credit Card Payment,Checking
1/24/19,Grocery Store,21.06,debit,Groceries,Silver Card
1/24/19,Amazon,11.7,debit,Shopping,Platinum Card
1/24/19,Amazon,4.21,debit,Shopping,Platinum Card
1/25/19,Internet Service Provider,75,debit,Internet,Checking
1/31/19,Credit Card Payment,1900,debit,Credit Card Payment,Checking
1/31/19,Shell,31.32,debit,Gas & Fuel,Silver Card
2/1/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
2/1/19,Roadside Diner,9.47,debit,Restaurants,Silver Card
2/1/19,Amazon,13.09,debit,Shopping,Platinum Card
2/4/19,Hardware Store,86.97,debit,Home Improvement,Silver Card
2/4/19,Netflix,11.76,debit,Television,Platinum Card
2/5/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
2/7/19,Gas Company,65,debit,Utilities,Checking
2/8/19,Starbucks,3,debit,Coffee Shops,Platinum Card
2/8/19,Thai Restaurant,27.47,debit,Restaurants,Platinum Card
2/9/19,Spotify,10.69,debit,Music,Platinum Card
2/11/19,Starbucks,3,debit,Coffee Shops,Platinum Card
2/11/19,Credit Card Payment,133.95,debit,Credit Card Payment,Checking
2/11/19,BP,24.01,debit,Gas & Fuel,Platinum Card
2/12/19,Grocery Store,30.54,debit,Groceries,Platinum Card
2/12/19,Phone Company,65,debit,Mobile Phone,Checking
2/13/19,Grocery Store,8.21,debit,Groceries,Platinum Card
2/15/19,Credit Card Payment,207.47,credit,Credit Card Payment,Platinum Card
2/15/19,Credit Card Payment,207.47,debit,Credit Card Payment,Checking
2/15/19,Grocery Store,4.59,debit,Groceries,Platinum Card
2/15/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
2/15/19,Power Company,60,debit,Utilities,Checking
2/16/19,Brewing Company,8,debit,Alcohol & Bars,Platinum Card
2/16/19,American Tavern,32.75,debit,Restaurants,Platinum Card
2/16/19,Amazon,37.45,debit,Shopping,Platinum Card
2/19/19,Credit Card Payment,574.84,debit,Credit Card Payment,Checking
2/19/19,City Water Charges,35,debit,Utilities,Checking
2/20/19,State Farm,75,debit,Auto Insurance,Checking
2/20/19,Credit Card Payment,292.54,credit,Credit Card Payment,Silver Card
2/20/19,Barbershop,30,debit,Haircut,Platinum Card
2/21/19,Credit Card Payment,292.54,debit,Credit Card Payment,Checking
2/21/19,Grocery Store,46.96,debit,Groceries,Silver Card
2/25/19,BP,33.8,debit,Gas & Fuel,Silver Card
2/25/19,Internet Service Provider,75,debit,Internet,Checking
2/27/19,Roadside Diner,25.77,debit,Restaurants,Silver Card
2/28/19,Grocery Store,32.07,debit,Groceries,Silver Card
3/1/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
3/1/19,Amazon,13.09,debit,Shopping,Platinum Card
3/4/19,Grocery Store,92.04,debit,Groceries,Silver Card
3/4/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
3/4/19,Netflix,11.76,debit,Television,Platinum Card
3/5/19,Fancy Restaurant,7,debit,Restaurants,Silver Card
3/6/19,Credit Card Payment,491.86,debit,Credit Card Payment,Checking
3/8/19,BP,34.08,debit,Gas & Fuel,Platinum Card
3/8/19,Amazon,27.17,debit,Shopping,Platinum Card
3/8/19,Gas Company,49,debit,Utilities,Checking
3/9/19,Spotify,10.69,debit,Music,Platinum Card
3/12/19,Phone Company,65,debit,Mobile Phone,Checking
3/12/19,Bakery Place,3.02,debit,Restaurants,Platinum Card
3/13/19,Credit Card Payment,532.86,credit,Credit Card Payment,Platinum Card
3/13/19,Credit Card Payment,301.79,credit,Credit Card Payment,Silver Card
3/14/19,Credit Card Payment,305.27,debit,Credit Card Payment,Checking
3/14/19,Credit Card Payment,301.79,debit,Credit Card Payment,Checking
3/14/19,Brunch Restaurant,8,debit,Restaurants,Platinum Card
3/15/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
3/15/19,Power Company,60,debit,Utilities,Checking
3/18/19,Best Buy,320.99,debit,Electronics & Software,Platinum Card
3/18/19,Grocery Store,16.23,debit,Groceries,Platinum Card
3/19/19,Amazon,13.84,debit,Shopping,Platinum Card
3/19/19,City Water Charges,35,debit,Utilities,Checking
3/20/19,State Farm,75,debit,Auto Insurance,Checking
3/22/19,BP,37.51,debit,Gas & Fuel,Platinum Card
3/23/19,Starbucks,5.2,debit,Coffee Shops,Platinum Card
3/25/19,Internet Service Provider,75,debit,Internet,Checking
3/26/19,Amazon,16.04,debit,Shopping,Platinum Card
3/27/19,Brewing Company,49.63,debit,Alcohol & Bars,Platinum Card
3/27/19,Grocery Store,4.46,debit,Groceries,Platinum Card
3/29/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
3/30/19,Starbucks,12.84,debit,Coffee Shops,Platinum Card
3/31/19,Credit Card Payment,957.6,credit,Credit Card Payment,Platinum Card
4/1/19,Credit Card Payment,1552.65,debit,Credit Card Payment,Checking
4/1/19,Credit Card Payment,600.51,credit,Credit Card Payment,Platinum Card
4/1/19,Amazon,13.09,debit,Shopping,Platinum Card
4/2/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
4/4/19,Grocery Store,5.64,debit,Groceries,Platinum Card
4/4/19,Amazon,35.9,debit,Shopping,Platinum Card
4/4/19,Netflix,11.76,debit,Television,Platinum Card
4/6/19,Amazon,27.54,debit,Shopping,Platinum Card
4/8/19,Gas Company,30,debit,Utilities,Checking
4/9/19,Credit Card Payment,436.75,debit,Credit Card Payment,Checking
4/9/19,Grocery Store,10.7,debit,Groceries,Platinum Card
4/9/19,Barbershop,30,debit,Haircut,Platinum Card
4/9/19,Spotify,10.69,debit,Music,Platinum Card
4/10/19,Phone Company,65,debit,Mobile Phone,Checking
4/12/19,Best Buy,44.93,debit,Electronics & Software,Silver Card
4/12/19,Grocery Store,41.34,debit,Groceries,Platinum Card
4/12/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
4/13/19,QuikTrip,38.94,debit,Gas & Fuel,Platinum Card
4/13/19,Grocery Store,16.87,debit,Groceries,Platinum Card
4/13/19,Vietnamese Restaurant,20.64,debit,Restaurants,Platinum Card
4/15/19,Power Company,60,debit,Utilities,Checking
4/16/19,City Water Charges,35,debit,Utilities,Checking
4/18/19,State Farm,75,debit,Auto Insurance,Checking
4/18/19,Credit Card Payment,604.32,credit,Credit Card Payment,Silver Card
4/18/19,Credit Card Payment,458.1,credit,Credit Card Payment,Platinum Card
4/19/19,Credit Card Payment,604.32,debit,Credit Card Payment,Checking
4/19/19,Grocery Store,10.89,debit,Groceries,Platinum Card
4/22/19,Brewing Company,14.4,debit,Alcohol & Bars,Silver Card
4/22/19,Greek Restaurant,64.52,debit,Restaurants,Silver Card
4/23/19,Hardware Store,29.56,debit,Home Improvement,Silver Card
4/25/19,Internet Service Provider,75,debit,Internet,Checking
4/26/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
4/27/19,Brewing Company,40,debit,Alcohol & Bars,Platinum Card
4/27/19,Credit Card Payment,268.96,credit,Credit Card Payment,Silver Card
4/27/19,American Tavern,14.74,debit,Restaurants,Silver Card
4/29/19,Credit Card Payment,268.96,debit,Credit Card Payment,Checking
4/29/19,Grocery Store,5.64,debit,Groceries,Platinum Card
4/30/19,BP,39.08,debit,Gas & Fuel,Platinum Card
5/1/19,Amazon,13.09,debit,Shopping,Platinum Card
5/2/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
5/3/19,Credit Card Payment,758.07,debit,Credit Card Payment,Checking
5/4/19,Netflix,13.9,debit,Television,Platinum Card
5/6/19,Amazon,16.94,debit,Shopping,Platinum Card
5/7/19,Amazon,38.56,debit,Shopping,Platinum Card
5/9/19,Best Buy,331.69,debit,Electronics & Software,Platinum Card
5/9/19,Spotify,10.69,debit,Music,Platinum Card
5/9/19,Target,3.2,debit,Shopping,Platinum Card
5/9/19,Gas Company,30,debit,Utilities,Checking
5/10/19,Best Buy,21.39,debit,Electronics & Software,Silver Card
5/10/19,Phone Company,65,debit,Mobile Phone,Checking
5/10/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
5/13/19,Credit Card Payment,480.88,debit,Credit Card Payment,Checking
5/13/19,QuikTrip,35.24,debit,Gas & Fuel,Silver Card
5/13/19,Fancy Restaurant,98.19,debit,Restaurants,Silver Card
5/13/19,Greek Restaurant,23.11,debit,Restaurants,Silver Card
5/14/19,Grocery Store,2.02,debit,Groceries,Silver Card
5/15/19,Power Company,60,debit,Utilities,Checking
5/17/19,Credit Card Payment,575.33,credit,Credit Card Payment,Platinum Card
5/17/19,City Water Charges,35,debit,Utilities,Checking
5/20/19,State Farm,75,debit,Auto Insurance,Checking
5/20/19,Credit Card Payment,415.47,debit,Credit Card Payment,Checking
5/20/19,American Tavern,32.53,debit,Restaurants,Silver Card
5/24/19,Credit Card Payment,765.68,credit,Credit Card Payment,Silver Card
5/24/19,Hardware Store,27.96,debit,Home Improvement,Platinum Card
5/24/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
5/24/19,Brunch Restaurant,8,debit,Restaurants,Platinum Card
5/25/19,QuikTrip,36.76,debit,Gas & Fuel,Platinum Card
5/25/19,Hardware Store,30.99,debit,Home Improvement,Platinum Card
5/27/19,Mexican Restaurant,34.33,debit,Restaurants,Platinum Card
5/28/19,Credit Card Payment,765.68,debit,Credit Card Payment,Checking
5/30/19,Internet Service Provider,75,debit,Internet,Checking
5/30/19,American Tavern,34.82,debit,Restaurants,Platinum Card
6/1/19,Amazon,13.09,debit,Shopping,Platinum Card
6/3/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
6/3/19,Credit Card Payment,260.95,credit,Credit Card Payment,Platinum Card
6/3/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
6/4/19,Barbershop,30,debit,Haircut,Platinum Card
6/4/19,Netflix,13.9,debit,Television,Platinum Card
6/5/19,Grocery Store,23,debit,Groceries,Platinum Card
6/5/19,Mexican Restaurant,23.24,debit,Restaurants,Platinum Card
6/6/19,Starbucks,3.75,debit,Coffee Shops,Platinum Card
6/6/19,Grocery Store,5.64,debit,Groceries,Platinum Card
6/7/19,Credit Card Payment,458.56,debit,Credit Card Payment,Checking
6/7/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
6/7/19,Gas Company,30,debit,Utilities,Checking
6/9/19,Spotify,10.69,debit,Music,Platinum Card
6/12/19,Phone Company,65,debit,Mobile Phone,Checking
6/13/19,Credit Card Payment,152.72,credit,Credit Card Payment,Platinum Card
6/13/19,Credit Card Payment,152.72,debit,Credit Card Payment,Checking
6/14/19,Grocery Store,10.69,debit,Groceries,Silver Card
6/15/19,BP,33.16,debit,Gas & Fuel,Silver Card
6/17/19,City Water Charges,35,debit,Utilities,Checking
6/17/19,Power Company,60,debit,Utilities,Checking
6/18/19,Brewing Company,15,debit,Alcohol & Bars,Silver Card
6/18/19,Shell,41.83,debit,Gas & Fuel,Silver Card
6/19/19,State Farm,75,debit,Auto Insurance,Checking
6/20/19,Credit Card Payment,375.26,debit,Credit Card Payment,Checking
6/20/19,Mike's Construction Co.,9200,debit,Home Improvement,Checking
6/20/19,Credit Card Payment,100.68,credit,Credit Card Payment,Silver Card
6/21/19,Credit Card Payment,100.68,debit,Credit Card Payment,Checking
6/21/19,Biweekly Paycheck,2000,credit,Paycheck,Checking
6/24/19,Brewing Company,15,debit,Alcohol & Bars,Silver Card
6/28/19,BP,30.64,debit,Gas & Fuel,Silver Card
6/30/19,Internet Service Provider,75,debit,Internet,Checking
7/1/19,Starbucks,7,debit,Coffee Shops,Silver Card
7/1/19,Grocery Store,99.47,debit,Groceries,Silver Card
7/1/19,Hawaiian Grill,24.97,debit,Restaurants,Silver Card
7/1/19,Thai Restaurant,24,debit,Restaurants,Silver Card
7/1/19,Amazon,13.09,debit,Shopping,Platinum Card
7/2/19,Hardware Store,229.9,debit,Home Improvement,Platinum Card
7/2/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
7/4/19,Netflix,13.9,debit,Television,Platinum Card
7/5/19,Brewing Company,19,debit,Alcohol & Bars,Silver Card
7/5/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
7/6/19,Credit Card Payment,220.08,credit,Credit Card Payment,Silver Card
7/6/19,Grocery Store,92.98,debit,Groceries,Platinum Card
7/6/19,Greek Restaurant,23.26,debit,Restaurants,Platinum Card
7/7/19,Hardware Store,103.14,debit,Home Improvement,Platinum Card
7/8/19,Credit Card Payment,305.28,debit,Credit Card Payment,Checking
7/8/19,Credit Card Payment,220.08,debit,Credit Card Payment,Checking
7/9/19,Credit Card Payment,549.72,credit,Credit Card Payment,Platinum Card
7/9/19,Spotify,10.69,debit,Music,Platinum Card
7/10/19,Phone Company,65,debit,Mobile Phone,Checking
7/10/19,Gas Company,30,debit,Utilities,Checking
7/15/19,Grocery Store,87.14,debit,Groceries,Silver Card
7/16/19,Amazon,89.99,debit,Shopping,Platinum Card
7/16/19,Power Company,60,debit,Utilities,Checking
7/17/19,City Water Charges,35,debit,Utilities,Checking
7/18/19,State Farm,75,debit,Auto Insurance,Checking
7/18/19,Credit Card Payment,814.5,debit,Credit Card Payment,Checking
7/18/19,BP,36.42,debit,Gas & Fuel,Silver Card
7/18/19,Grocery Store,29.83,debit,Groceries,Platinum Card
7/18/19,Brunch Restaurant,8.82,debit,Restaurants,Platinum Card
7/19/19,Credit Card Payment,115.52,credit,Credit Card Payment,Platinum Card
7/19/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
7/19/19,Mexican Restaurant,28,debit,Restaurants,Platinum Card
7/22/19,Credit Card Payment,257.08,credit,Credit Card Payment,Silver Card
7/22/19,Thai Restaurant,26.67,debit,Restaurants,Silver Card
7/23/19,Credit Card Payment,257.08,debit,Credit Card Payment,Checking
7/24/19,Starbucks,2.5,debit,Coffee Shops,Silver Card
7/27/19,Barbershop,30,debit,Haircut,Silver Card
7/28/19,Hardware Store,44.31,debit,Home Improvement,Platinum Card
7/29/19,Grocery Store,5.35,debit,Groceries,Platinum Card
7/29/19,Fancy Restaurant,44.92,debit,Restaurants,Silver Card
7/30/19,Grocery Store,15.77,debit,Groceries,Platinum Card
7/30/19,Internet Service Provider,75,debit,Internet,Checking
8/1/19,Amazon,13.09,debit,Shopping,Platinum Card
8/2/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
8/2/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
8/3/19,BP,36.36,debit,Gas & Fuel,Platinum Card
8/3/19,Grocery Store,3.96,debit,Groceries,Platinum Card
8/3/19,American Tavern,23.47,debit,Restaurants,Platinum Card
8/4/19,Netflix,13.9,debit,Television,Platinum Card
8/5/19,Brewing Company,18,debit,Alcohol & Bars,Silver Card
8/5/19,Credit Card Payment,349.28,credit,Credit Card Payment,Platinum Card
8/5/19,Credit Card Payment,117.65,credit,Credit Card Payment,Silver Card
8/6/19,Credit Card Payment,521.17,debit,Credit Card Payment,Checking
8/6/19,Credit Card Payment,117.65,debit,Credit Card Payment,Checking
8/6/19,Hardware Store,125,debit,Home Improvement,Checking
8/8/19,Grocery Store,11.72,debit,Groceries,Silver Card
8/9/19,Spotify,10.69,debit,Music,Platinum Card
8/9/19,Gas Company,30,debit,Utilities,Checking
8/12/19,Phone Company,65,debit,Mobile Phone,Checking
8/12/19,Thai Restaurant,26.67,debit,Restaurants,Silver Card
8/14/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
8/15/19,Credit Card Payment,335.2,debit,Credit Card Payment,Checking
8/15/19,Power Company,60,debit,Utilities,Checking
8/16/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
8/16/19,City Water Charges,35,debit,Utilities,Checking
8/17/19,Credit Card Payment,87.17,credit,Credit Card Payment,Platinum Card
8/17/19,Grocery Store,33.15,debit,Groceries,Platinum Card
8/17/19,Barbershop,19,debit,Haircut,Platinum Card
8/17/19,American Tavern,3.5,debit,Restaurants,Platinum Card
8/19/19,Credit Card Payment,1248.95,debit,Credit Card Payment,Checking
8/20/19,State Farm,75,debit,Auto Insurance,Checking
8/20/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
8/21/19,Shell,34.69,debit,Gas & Fuel,Platinum Card
8/23/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
8/25/19,Brunch Restaurant,39.43,debit,Restaurants,Platinum Card
8/26/19,Hardware Store,66.75,debit,Home Improvement,Silver Card
8/29/19,Starbucks,3,debit,Coffee Shops,Platinum Card
8/30/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
8/30/19,Internet Service Provider,75,debit,Internet,Checking
8/30/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
8/31/19,Hardware Store,68.04,debit,Home Improvement,Platinum Card
8/31/19,BBQ Restaurant,41.78,debit,Restaurants,Silver Card
9/1/19,Amazon,13.09,debit,Shopping,Platinum Card
9/3/19,Mortgage Payment,1100,debit,Mortgage & Rent,Checking
9/3/19,Fancy Restaurant,41.24,debit,Restaurants,Silver Card
9/4/19,Netflix,13.9,debit,Television,Platinum Card
9/5/19,Starbucks,3.75,debit,Coffee Shops,Platinum Card
9/6/19,Credit Card Payment,1390.37,credit,Credit Card Payment,Platinum Card
9/6/19,Credit Card Payment,1390.37,debit,Credit Card Payment,Checking
9/6/19,Credit Card Payment,502.75,debit,Credit Card Payment,Checking
9/7/19,Brewing Company,12.87,debit,Alcohol & Bars,Platinum Card
9/8/19,Brewing Company,19.3,debit,Alcohol & Bars,Platinum Card
9/9/19,Shell,28.77,debit,Gas & Fuel,Platinum Card
9/9/19,Grocery Store,65.09,debit,Groceries,Silver Card
9/9/19,Hardware Store,26.25,debit,Home Improvement,Silver Card
9/9/19,Spotify,10.69,debit,Music,Platinum Card
9/9/19,Gas Company,30,debit,Utilities,Checking
9/11/19,Credit Card Payment,360.56,credit,Credit Card Payment,Silver Card
9/11/19,Phone Company,65,debit,Mobile Phone,Checking
9/12/19,Credit Card Payment,360.56,debit,Credit Card Payment,Checking
9/13/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
9/13/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
9/14/19,Grocery Store,46.44,debit,Groceries,Platinum Card
9/15/19,Amazon,47.66,debit,Shopping,Platinum Card
9/16/19,Credit Card Payment,90.57,debit,Credit Card Payment,Checking
9/16/19,Credit Card Payment,90.57,credit,Credit Card Payment,Silver Card
9/16/19,City Water Charges,35,debit,Utilities,Checking
9/17/19,Credit Card Payment,186.13,credit,Credit Card Payment,Platinum Card
9/17/19,Power Company,60,debit,Utilities,Checking
9/18/19,State Farm,75,debit,Auto Insurance,Checking
9/18/19,Credit Card Payment,1606.46,debit,Credit Card Payment,Checking
9/19/19,Brewing Company,40.81,debit,Alcohol & Bars,Platinum Card
9/19/19,Starbucks,2.75,debit,Coffee Shops,Platinum Card
9/20/19,Credit Card Payment,9.43,credit,Credit Card Payment,Silver Card
9/22/19,Seafood Restaurant,131.1,debit,Restaurants,Platinum Card
9/23/19,Credit Card Payment,9.43,debit,Credit Card Payment,Checking
9/23/19,Grocery Store,27.71,debit,Groceries,Platinum Card
9/23/19,Amazon,24.63,debit,Shopping,Platinum Card
9/27/19,Biweekly Paycheck,2250,credit,Paycheck,Checking
9/28/19,BP,33.46,debit,Gas & Fuel,Platinum Card
9/28/19,Sheetz,4.27,debit,Gas & Fuel,Platinum Card
9/30/19,Starbucks,1.75,debit,Coffee Shops,Platinum Card
9/30/19,Internet Service Provider,75,debit,Internet,Checking
